Lebensmittel,Energie in Kcal,Magnesium in mg,Wasser in g,Calcium in mg,Eiweiß in g,Phosph. in mg,Fett in g,Eisen in mg,KH in g,Zink in mg,ung. FS in g,Vit. A in µg,Chol. in mg,Carotin in mg,Alkohol in g,Vit. E in mg,Harnsr. in mg,Fols. in µg,tie. EW in g,Vit. B1 in mg,BST in g,Vit. B2 in mg,Natrium in mg,Vit. B6 in mg,Kalium in mg,Vit. C in mg
Bohnen grün Konserve gegart ,"       21,5          ","        19,0  ","         89,1             ","        55,0  ","          2,2             ","        33,0  ","            0,2             ","           0,6  ","              2,5             ","            0,3  ","         0,1             ","        45,0  ","           0,0            ","         0,2  ","         0,0             ","          0,1  ","        44,0            ","           3,0  ","         0,0             ","         0,0  ","             2,9             ","         0,1  ","       217,0            ","         0,1  ","        140,0            ","          4,6   "
Wachsbohnen gegart ,"       31,6          ","        27,0  ","         88,7             ","        50,0  ","          1,7             ","        43,0  ","            0,2             ","           1,0  ","              5,5             ","            0,3  ","         0,1             ","         9,0  ","           0,0            ","         0,1  ","         0,0             ","          0,5  ","        47,0            ","           5,0  ","         0,0             ","         0,1  ","             3,1             ","         0,1  ","         6,0            ","         0,1  ","        202,0            ","         12,8   "
Wachsbohnen Konserve gegart ,"       26,1          ","        22,0  ","         89,6             ","        45,0  ","          1,6             ","        36,0  ","            0,2             ","           0,8  ","              4,3             ","            0,3  ","         0,1             ","         7,0  ","           0,0            ","         0,0  ","         0,0             ","          0,5  ","        44,0            ","           1,0  ","         0,0             ","         0,0  ","             2,9             ","         0,1  ","       221,0            ","         0,0  ","        138,0            ","          4,9   "
Bohnen dick getrocknet ,"      326,3          ","       135,0  ","          6,0             ","        92,0  ","         28,1             ","       346,0  ","            2,0             ","           6,8  ","             47,6             ","            1,0  ","         1,1             ","        44,0  ","           0,0            ","         0,3  ","         0,0             ","          1,1  ","       167,0            ","          82,0  ","         0,0             ","         0,7  ","            12,0             ","         0,4  ","        92,0            ","         0,6  ","       1227,0            ","         52,9   "
Sojabohnen getrocknet ,"      416,7          ","        65,0  ","          6,0             ","       346,0  ","         35,1             ","       531,0  ","           17,4             ","           7,8  ","             29,2             ","            0,7  ","         8,4             ","       100,0  ","           0,0            ","         0,6  ","         0,0             ","          0,8  ","       123,0            ","          60,0  ","         0,0             ","         1,0  ","             8,9             ","         0,3  ","         6,0            ","         0,5  ","        628,0            ","         34,3   "
Erbsen grün frisch ,"       81,8          ","        33,0  ","         74,5             ","        24,0  ","          6,6             ","       108,0  ","            0,5             ","           1,8  ","             12,3             ","            0,8  ","         0,1             ","        72,0  ","           0,0            ","         0,4  ","         0,0             ","          0,3  ","       150,0            ","          23,0  ","         0,0             ","         0,3  ","             5,0             ","         0,2  ","         2,0            ","         0,2  ","        304,0            ","         25,0   "
Erbsen grün frisch gegart ,"       83,7          ","        34,0  ","         73,7             ","        27,0  ","          6,7             ","       110,0  ","            0,5             ","           1,8  ","             12,6             ","            0,8  ","         0,1             ","        74,0  ","           0,0            ","         0,4  ","         0,0             ","          0,3  ","       171,0            ","           5,0  ","         0,0             ","         0,2  ","             5,3             ","         0,1  ","         2,0            ","         0,1  ","        259,0            ","         15,6   "
Erbsen grün tiefgefroren gegart ,"       84,2          ","        32,0  ","         73,5             ","        26,0  ","          6,9             ","       103,0  ","            0,5             ","           1,7  ","             12,4             ","            0,8  ","         0,1             ","        72,0  ","           0,0            ","         0,4  ","         0,0             ","          0,3  ","       177,0            ","           4,0  ","         0,0             ","         0,2  ","             5,5             ","         0,1  ","         2,0            ","         0,1  ","        243,0            ","         10,5   "
Erbsen grün Konserve gegart ,"       70,3          ","        27,0  ","         76,8             ","        26,0  ","          6,2             ","        94,0  ","            0,5             ","           1,3  ","              9,8             ","            0,6  ","         0,1             ","        58,0  ","           0,0            ","         0,3  ","         0,0             ","          0,3  ","       158,0            ","           2,0  ","         0,0             ","         0,1  ","             4,9             ","         0,1  ","       222,0            ","         0,1  ","        177,0            ","          5,9   "
Kichererbsen getrocknet ,"      325,6          ","       119,0  ","         10,0             ","       124,0  ","         17,8             ","       192,0  ","            6,4             ","           5,9  ","             47,8             ","            2,9  ","         3,6             ","       141,0  ","           0,0            ","         0,8  ","         0,0             ","          5,8  ","       356,0            ","          29,0  ","         0,0             ","         0,5  ","            11,9             ","         0,2  ","        37,0            ","         0,3  ","        108,0            ","         23,7   "
