Lebensmittel,Energie in Kcal,Magnesium in mg,Wasser in g,Calcium in mg,Eiweiß in g,Phosph. in mg,Fett in g,Eisen in mg,KH in g,Zink in mg,ung. FS in g,Vit. A in µg,Chol. in mg,Carotin in mg,Alkohol in g,Vit. E in mg,Harnsr. in mg,Fols. in µg,tie. EW in g,Vit. B1 in mg,BST in g,Vit. B2 in mg,Natrium in mg,Vit. B6 in mg,Kalium in mg,Vit. C in mg
Weichkäse Halbfettstufe ,"      178,7          ","        20,0  ","         61,8             ","       597,0  ","         24,2             ","       597,0  ","            9,0             ","           0,3  ","              0,0             ","            3,0  ","         0,3             ","        98,0  ","          21,0            ","         0,1  ","         0,0             ","          0,2  ","        10,0            ","          34,0  ","        24,2             ","         0,0  ","             0,0             ","         0,6  ","      1095,0            ","         0,2  ","        199,0            ","          1,0   "
Weichkäse Dreiviertelfettstufe ,"      209,3          ","        20,0  ","         59,8             ","       600,0  ","         23,0             ","       370,0  ","           13,0             ","           0,3  ","              0,0             ","            3,2  ","         0,5             ","       153,0  ","          35,0            ","         0,1  ","         0,0             ","          0,3  ","        10,0            ","          41,0  ","        23,0             ","         0,1  ","             0,0             ","         0,6  ","       700,0            ","         0,2  ","        150,0            ","          0,0   "
Weichkäse Fettstufe ,"      267,2          ","        20,0  ","         54,3             ","       450,0  ","         22,0             ","       350,0  ","           20,0             ","           0,3  ","              0,0             ","            2,9  ","         0,7             ","       325,0  ","          46,0            ","         0,2  ","         0,0             ","          0,4  ","        10,0            ","          41,0  ","        22,0             ","         0,1  ","             0,0             ","         0,5  ","       700,0            ","         0,2  ","        150,0            ","          0,0   "
Weichkäse Vollfettstufe ,"      275,6          ","        20,0  ","         53,6             ","       400,0  ","         20,1             ","       400,0  ","           21,8             ","           0,3  ","              0,0             ","            3,0  ","         0,8             ","       297,0  ","          54,0            ","         0,1  ","         0,0             ","          0,4  ","        10,0            ","          42,0  ","        20,1             ","         0,0  ","             0,0             ","         0,5  ","      1000,0            ","         0,2  ","        150,0            ","          0,0   "
Weichkäse Rahmstufe ,"      312,2          ","        20,0  ","         49,9             ","       350,0  ","         21,1             ","       300,0  ","           25,5             ","           0,3  ","              0,0             ","            3,0  ","         0,9             ","       305,0  ","          72,0            ","         0,2  ","         0,0             ","          0,8  ","        10,0            ","          48,0  ","        21,1             ","         0,0  ","             0,0             ","         0,5  ","       700,0            ","         0,2  ","        150,0            ","          0,0   "
Weichkäse Doppelrahmstufe ,"      362,9          ","        16,0  ","         46,7             ","       280,0  ","         16,8             ","       250,0  ","           33,2             ","           0,3  ","              0,0             ","            2,6  ","         1,2             ","       403,0  ","          93,0            ","         0,2  ","         0,0             ","          1,0  ","        10,0            ","          44,0  ","        16,8             ","         0,0  ","             0,0             ","         0,4  ","       700,0            ","         0,1  ","        120,0            ","          0,0   "
Weichkäse 70% F.i.Tr. ,"      408,4          ","        13,0  ","         43,6             ","       250,0  ","         13,2             ","       200,0  ","           40,0             ","           0,2  ","              0,0             ","            2,0  ","         1,5             ","       480,0  ","         112,0            ","         0,2  ","         0,0             ","          1,2  ","        10,0            ","          42,0  ","        13,2             ","         0,0  ","             0,0             ","         0,3  ","       700,0            ","         0,1  ","        100,0            ","          0,0   "
Brie Rahmstufe ,"      335,6          ","        20,0  ","         46,1             ","       400,0  ","         21,1             ","       190,0  ","           27,9             ","           0,5  ","              0,0             ","            3,0  ","         1,0             ","       305,0  ","          92,0            ","         0,2  ","         0,0             ","          0,7  ","        10,0            ","          37,0  ","        21,1             ","         0,1  ","             0,0             ","         0,3  ","       700,0            ","         0,2  ","        150,0            ","          0,0   "
Camembert ,"      288,0          ","        20,0  ","         52,0             ","       500,0  ","         21,0             ","       350,0  ","           22,8             ","           0,3  ","              0,0             ","            3,0  ","         0,8             ","       362,0  ","          70,0            ","         0,2  ","         0,0             ","          0,5  ","        10,0            ","          40,0  ","        21,0             ","         0,0  ","             0,0             ","         0,5  ","       700,0            ","         0,2  ","        150,0            ","          0,0   "
Limburger ,"      270,3          ","        20,0  ","         52,5             ","       350,0  ","         23,2             ","       256,0  ","           19,7             ","           0,3  ","              0,0             ","            2,0  ","         0,7             ","       240,0  ","          46,0            ","         0,1  ","         0,0             ","          0,6  ","        19,0            ","          34,0  ","        23,2             ","         0,1  ","             0,0             ","         0,3  ","       800,0            ","         0,1  ","        100,0            ","          0,0   "
Romadur Halbfettstufe ,"      178,9          ","        25,0  ","         61,2             ","       400,0  ","         24,0             ","       325,0  ","            9,0             ","           0,3  ","              0,0             ","            2,4  ","         0,3             ","       108,0  ","          21,0            ","         0,1  ","         0,0             ","          0,3  ","        10,0            ","          22,0  ","        24,0             ","         0,1  ","             0,0             ","         0,4  ","       800,0            ","         0,1  ","        100,0            ","          0,0   "
Klosterkäse Rahmstufe ,"      342,6          ","        50,0  ","         44,5             ","       700,0  ","         21,1             ","       400,0  ","           28,8             ","           0,4  ","              0,0             ","            4,0  ","         1,1             ","       307,0  ","          67,0            ","         0,2  ","         0,0             ","          0,8  ","        10,0            ","          18,0  ","        21,1             ","         0,1  ","             0,0             ","         0,3  ","       800,0            ","         0,1  ","        100,0            ","          0,0   "
Frischkäse ,"      335,6          ","         7,0  ","         53,0             ","        90,0  ","         11,0             ","       150,0  ","           31,5             ","           0,1  ","              2,5             ","            0,4  ","         1,2             ","       325,0  ","         103,0            ","         0,2  ","         0,0             ","          0,7  ","         0,0            ","           9,0  ","        11,0             ","         0,0  ","             0,0             ","         0,2  ","       350,0            ","         0,1  ","         90,0            ","          0,2   "
Frischkäse Rahmstufe ,"      281,6          ","         9,0  ","         56,7             ","       100,0  ","         13,8             ","       160,0  ","           23,6             ","           0,1  ","              3,4             ","            0,4  ","         0,9             ","       248,0  ","          77,0            ","         0,1  ","         0,0             ","          0,7  ","         0,0            ","           9,0  ","        13,8             ","         0,1  ","             0,0             ","         0,3  ","       400,0            ","         0,1  ","        110,0            ","          0,2   "
Frischkäse Doppelrahmstufe ,"      335,6          ","         7,0  ","         53,0             ","        90,0  ","         11,0             ","       150,0  ","           31,5             ","           0,1  ","              2,5             ","            0,4  ","         1,2             ","       325,0  ","         103,0            ","         0,2  ","         0,0             ","          0,7  ","         0,0            ","           9,0  ","        11,0             ","         0,0  ","             0,0             ","         0,2  ","       350,0            ","         0,1  ","         90,0            ","          0,2   "
Hüttenkäse ,"      102,4          ","         8,0  ","         78,3             ","        80,0  ","         12,6             ","       140,0  ","            4,3             ","           0,1  ","              2,6             ","            0,5  ","         0,2             ","        55,0  ","          16,0            ","         0,0  ","         0,0             ","          0,1  ","         0,0            ","           8,0  ","        12,6             ","         0,0  ","             0,0             ","         0,3  ","       380,0            ","         0,1  ","         80,0            ","          0,0   "
Hüttenkäse Magerstufe ,"       81,6          ","         6,0  ","         80,1             ","        68,0  ","         13,3             ","       150,0  ","            1,4             ","           0,1  ","              3,3             ","            0,4  ","         0,1             ","        17,0  ","           5,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","           7,0  ","        13,3             ","         0,0  ","             0,0             ","         0,2  ","       380,0            ","         0,1  ","         86,0            ","          0,0   "
Quark Magerstufe ,"       75,4          ","        11,0  ","         80,7             ","       120,0  ","         13,5             ","       190,0  ","            0,2             ","           0,4  ","              4,0             ","            0,6  ","         0,0             ","         1,0  ","           1,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","          18,0  ","        13,5             ","         0,0  ","             0,0             ","         0,3  ","        40,0            ","         0,1  ","        140,0            ","          0,7   "
Quark Halbfettstufe (20 %) ,"      100,0          ","        11,0  ","         79,6             ","       120,0  ","         10,8             ","       180,0  ","            4,4             ","           0,1  ","              3,6             ","            0,5  ","         0,2             ","        59,0  ","          16,0            ","         0,0  ","         0,0             ","          0,1  ","         0,0            ","          17,0  ","        10,8             ","         0,0  ","             0,0             ","         0,3  ","        40,0            ","         0,1  ","        120,0            ","          0,6   "
Quark Fettstufe (40 %) ,"      143,1          ","        10,0  ","         76,1             ","       110,0  ","          9,0             ","       180,0  ","           10,3             ","           0,1  ","              3,2             ","            0,5  ","         0,4             ","       120,0  ","          31,0            ","         0,1  ","         0,0             ","          0,3  ","         0,0            ","          13,0  ","         9,0             ","         0,0  ","             0,0             ","         0,3  ","        40,0            ","         0,1  ","        120,0            ","          0,0   "
Sauermilchkäse Magerstufe ,"      131,3          ","        15,0  ","         63,6             ","       180,0  ","         30,0             ","       270,0  ","            0,7             ","           0,3  ","              0,0             ","            1,9  ","         0,0             ","        12,0  ","           3,0            ","         0,0  ","         0,0             ","          0,0  ","        19,0            ","           2,0  ","        30,0             ","         0,0  ","             0,0             ","         0,4  ","       800,0            ","         0,0  ","        100,0            ","          0,0   "
Ricotta Doppelrahmstufe ,"      174,4          ","        14,0  ","         71,8             ","       274,0  ","          9,5             ","       270,0  ","           15,0             ","           0,4  ","              0,3             ","            1,2  ","         0,6             ","       320,0  ","          59,0            ","         0,1  ","         0,0             ","          0,7  ","         5,0            ","          16,0  ","         9,5             ","         0,0  ","             0,0             ","         0,2  ","        90,0            ","         0,0  ","        100,0            ","          0,0   "
Schmelzkäse ,"      328,0          ","        42,0  ","         50,9             ","       600,0  ","         13,2             ","       800,0  ","           30,4             ","           1,2  ","              0,9             ","            3,2  ","         1,1             ","       297,0  ","          85,0            ","         0,1  ","         0,0             ","          0,6  ","        13,0            ","           6,0  ","        13,2             ","         0,0  ","             0,0             ","         0,3  ","      1100,0            ","         0,1  ","        130,0            ","          0,0   "
Schmelzkäse Halbfettstufe ,"      221,8          ","        30,0  ","         54,4             ","       700,0  ","         27,0             ","      1200,0  ","           12,0             ","           0,9  ","              1,0             ","            3,0  ","         0,4             ","       142,0  ","          27,0            ","         0,1  ","         0,0             ","          0,4  ","        26,0            ","           6,0  ","        27,0             ","         0,0  ","             0,0             ","         0,4  ","      1100,0            ","         0,1  ","        200,0            ","          0,0   "
Frischkäsezubereitung ,"      335,6          ","         7,0  ","         53,0             ","        90,0  ","         11,0             ","       150,0  ","           31,5             ","           0,1  ","              2,5             ","            0,4  ","         1,2             ","       325,0  ","         103,0            ","         0,2  ","         0,0             ","          0,7  ","         0,0            ","           9,0  ","        11,0             ","         0,0  ","             0,0             ","         0,2  ","       350,0            ","         0,1  ","         90,0            ","          0,2   "
Quark mit Früchten ,"      103,3          ","        12,0  ","         73,8             ","        71,0  ","          6,0             ","        95,0  ","            0,7             ","           0,3  ","             17,5             ","            0,4  ","         0,1             ","        12,0  ","           2,0            ","         0,0  ","         0,0             ","          0,1  ","         7,0            ","          11,0  ","         5,7             ","         0,0  ","             0,8             ","         0,2  ","        24,0            ","         0,1  ","        156,0            ","          8,2   "
Quark mit Kräutern Fettstufe ,"      117,5          ","        16,0  ","         73,4             ","       149,0  ","          5,4             ","       116,0  ","            4,8             ","           2,2  ","             12,7             ","            0,9  ","         0,3             ","       442,0  ","          14,0            ","         2,4  ","         0,0             ","          0,8  ","         6,0            ","          21,0  ","         4,0             ","         0,1  ","             2,0             ","         0,3  ","        33,0            ","         0,1  ","        318,0            ","         27,2   "
Kaffeeweißer ,"      549,8          ","         4,0  ","          3,7             ","        20,0  ","          4,0             ","       306,0  ","           35,0             ","           1,1  ","             55,0             ","            0,5  ","         0,0             ","        20,0  ","           0,0            ","         0,1  ","         0,0             ","          1,0  ","         0,0            ","           0,0  ","         4,0             ","         0,0  ","             0,0             ","         0,2  ","       200,0            ","         0,0  ","        812,0            ","          0,0   "
Vollmilchpulver ,"      495,2          ","       100,0  ","          1,8             ","       920,0  ","         25,3             ","       720,0  ","           26,3             ","           0,6  ","             38,0             ","            2,8  ","         1,0             ","       317,0  ","          98,0            ","         0,2  ","         0,0             ","          0,5  ","         0,0            ","          34,0  ","        25,3             ","         0,3  ","             0,0             ","         1,4  ","       370,0            ","         0,3  ","       1200,0            ","         10,0   "
Magermilchpulver ,"      368,7          ","       120,0  ","          2,1             ","      1300,0  ","         35,5             ","      1000,0  ","            0,9             ","           0,8  ","             51,5             ","            4,0  ","         0,0             ","        14,0  ","           3,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","          21,0  ","        35,5             ","         0,3  ","             0,0             ","         2,2  ","       550,0            ","         0,4  ","       1600,0            ","         10,0   "
Buttermilchpulver ,"      379,9          ","       120,0  ","          6,9             ","       900,0  ","         34,9             ","       900,0  ","            6,0             ","           0,7  ","             44,6             ","            4,0  ","         0,2             ","        77,0  ","          20,0            ","         0,0  ","         0,0             ","          0,2  ","         0,0            ","          41,0  ","        34,9             ","         0,3  ","             0,0             ","         1,7  ","       350,0            ","         0,4  ","       1300,0            ","          8,0 "
Trinkwasser ,"        0,0          ","         1,0  ","        100,0             ","         5,0  ","          0,0             ","         0,0  ","            0,0             ","           0,0  ","              0,0             ","            0,1  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","           0,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","         1,0            ","         0,0  ","          0,0            ","          0,0   "
Mineralwasser mit Kohlensäure ,"        0,0          ","        11,0  ","         99,7             ","        35,0  ","          0,0             ","         0,0  ","            0,0             ","           0,0  ","              0,0             ","            0,0  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","           0,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","        12,0            ","         0,0  ","          1,0            ","          0,0   "
Natürliches Mineralwasser still ,"        0,0          ","        10,0  ","         99,8             ","        34,0  ","          0,0             ","         0,0  ","            0,0             ","           0,0  ","              0,0             ","            0,0  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","           0,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","        12,0            ","         0,0  ","          1,0            ","          0,0   "
Fruchtsaftgetränke ,"       47,4          ","         2,0  ","         87,9             ","        19,0  ","          0,2             ","         0,0  ","            0,0             ","           0,4  ","             11,2             ","            0,1  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","         3,0            ","           1,0  ","         0,0             ","         0,0  ","             0,3             ","         0,0  ","         4,0            ","         0,0  ","          0,0            ","          6,4   "
Limonaden ,"       41,6          ","         2,0  ","         89,7             ","         5,0  ","          0,0             ","         1,0  ","            0,0             ","           0,4  ","             10,0             ","            0,0  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","           0,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","         7,0            ","         0,0  ","          1,0            ","          0,0   "
Limonaden kalorienarm ,"        2,6          ","         2,0  ","         99,3             ","        21,0  ","          0,0             ","         3,0  ","            0,0             ","           0,4  ","              0,4             ","            0,0  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","           0,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","         5,0            ","         0,0  ","          1,0            ","          0,0   "
Brausen ,"       41,6          ","         2,0  ","         89,7             ","         5,0  ","          0,0             ","         1,0  ","            0,0             ","           0,4  ","             10,0             ","            0,0  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","           0,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","         7,0            ","         0,0  ","          1,0            ","          0,0   "
Brausen kalorienarm ,"        2,6          ","         2,0  ","         99,3             ","        21,0  ","          0,0             ","         3,0  ","            0,0             ","           0,4  ","              0,4             ","            0,0  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","           0,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","         5,0            ","         0,0  ","          1,0            ","          0,0   "
Colagetränke (coffeinhaltig) ,"       60,8          ","         1,0  ","         84,8             ","         4,0  ","          3,3             ","         6,0  ","            0,0             ","           0,0  ","             10,9             ","            0,0  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","        10,0            ","           0,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","         4,0            ","         0,0  ","          1,0            ","          0,0   "
Colagetränke kalorienarm ,"        3,6          ","         1,0  ","         98,8             ","         4,0  ","          0,0             ","         9,0  ","            0,0             ","           0,0  ","              0,1             ","            0,1  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","           0,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","         6,0            ","         0,0  ","          0,0            ","          0,0   "
Getränkepulver ,"      383,5          ","         2,0  ","          3,5             ","        84,0  ","          0,0             ","       134,0  ","            0,0             ","           1,7  ","             90,0             ","            0,2  ","         0,0             ","         1,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","           0,0  ","         0,0             ","         0,7  ","             0,3             ","         0,2  ","         8,0            ","         0,0  ","          2,0            ","        200,0   "
Cola Mix ,"       45,0          ","         2,0  ","         88,8             ","        12,0  ","          1,7             ","         5,0  ","            0,0             ","           0,2  ","              8,9             ","            0,0  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","         5,0            ","           0,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","         5,0            ","         0,0  ","          1,0            ","          0,0   "
Bohnenkaffee ,"        2,2          ","         6,0  ","         99,4             ","         2,0  ","          0,2             ","         2,0  ","            0,0             ","           0,2  ","              0,3             ","            0,0  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","           0,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","         1,0            ","         0,0  ","         66,0            ","          0,0   "
Kaffee mit Milch (Getränk) ,"        4,1          ","         6,0  ","         99,0             ","         6,0  ","          0,3             ","         5,0  ","            0,1             ","           0,2  ","              0,4             ","            0,0  ","         0,0             ","         1,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","           0,0  ","         0,1             ","         0,0  ","             0,0             ","         0,0  ","         3,0            ","         0,0  ","         69,0            ","          0,1   "
"Kaffee mit Milch,Zucker (Getränk ","       11,7          ","         6,0  ","         97,1             ","         6,0  ","          0,3             ","         5,0  ","            0,1             ","           0,2  ","              2,3             ","            0,0  ","         0,0             ","         1,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","           0,0  ","         0,1             ","         0,0  ","             0,0             ","         0,0  ","         3,0            ","         0,0  ","         67,0            ","          0,1   "
Kaffee mit Kondensmilch ,"        6,2          ","         7,0  ","         98,6             ","        10,0  ","          0,4             ","         8,0  ","            0,2             ","           0,2  ","              0,6             ","            0,0  ","         0,0             ","         3,0  ","           1,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","           0,0  ","         0,2             ","         0,0  ","             0,0             ","         0,0  ","         4,0            ","         0,0  ","         74,0            ","          0,0   "
Kaffee mit Kondensm. und Zucker ,"       13,9          ","         6,0  ","         96,7             ","        10,0  ","          0,4             ","         8,0  ","            0,2             ","           0,2  ","              2,5             ","            0,0  ","         0,0             ","         3,0  ","           1,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","           0,0  ","         0,2             ","         0,0  ","             0,0             ","         0,0  ","         4,0            ","         0,0  ","         73,0            ","          0,0   "
Kaffee mit Zucker ,"       10,0          ","         6,0  ","         97,5             ","         2,0  ","          0,2             ","         2,0  ","            0,0             ","           0,2  ","              2,3             ","            0,0  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","           0,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","         1,0            ","         0,0  ","         65,0            ","          0,0   "
Kaffee Instantpulver (trocken) ,"      339,5          ","       390,0  ","          3,3             ","       168,0  ","         15,9             ","       350,0  ","            0,5             ","           4,4  ","             63,7             ","            0,5  ","         0,2             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","        99,0            ","           1,0  ","         0,0             ","         0,0  ","             0,2             ","         0,1  ","        58,0            ","         0,0  ","       4380,0            ","          0,0   "
Kaffee Ersatz ,"        2,2          ","         4,0  ","         99,4             ","         3,0  ","          0,0             ","         7,0  ","            0,0             ","           0,1  ","              0,5             ","            0,0  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","           0,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","         4,0            ","         0,0  ","         24,0            ","          0,0   "
Kaffee Ersatz mit Kondensm. ,"        6,2          ","         5,0  ","         98,6             ","        11,0  ","          0,2             ","        13,0  ","            0,2             ","           0,1  ","              0,8             ","            0,1  ","         0,0             ","         3,0  ","           1,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","           0,0  ","         0,2             ","         0,0  ","             0,0             ","         0,0  ","         7,0            ","         0,0  ","         34,0            ","          0,0   "
Kaffee Ersatz m. Kondensm./Zucke ,"       13,9          ","         5,0  ","         96,7             ","        10,0  ","          0,2             ","        13,0  ","            0,2             ","           0,1  ","              2,7             ","            0,1  ","         0,0             ","         3,0  ","           1,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","           0,0  ","         0,2             ","         0,0  ","             0,0             ","         0,0  ","         7,0            ","         0,0  ","         33,0            ","          0,0   "
Kaffee Ersatz mit Zucker ,"       10,0          ","         4,0  ","         97,5             ","         3,0  ","          0,0             ","         7,0  ","            0,0             ","           0,1  ","              2,4             ","            0,0  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","           0,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","         4,0            ","         0,0  ","         24,0            ","          0,0   "
Tee ,"        0,5          ","         3,0  ","         99,8             ","         8,0  ","          0,1             ","         1,0  ","            0,0             ","           0,0  ","              0,0             ","            0,0  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","           1,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","         1,0            ","         0,0  ","         17,0            ","          0,0   "
Tee schwarz mit Milch ,"        2,4          ","         3,0  ","         99,4             ","        12,0  ","          0,2             ","         4,0  ","            0,1             ","           0,0  ","              0,2             ","            0,1  ","         0,0             ","         1,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","           1,0  ","         0,1             ","         0,0  ","             0,0             ","         0,0  ","         3,0            ","         0,0  ","         21,0            ","          0,1   "
Tee schwarz mit Milch/Zucker ,"       10,0          ","         3,0  ","         97,5             ","        11,0  ","          0,2             ","         4,0  ","            0,1             ","           0,0  ","              2,0             ","            0,1  ","         0,0             ","         1,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","           1,0  ","         0,1             ","         0,0  ","             0,0             ","         0,0  ","         3,0            ","         0,0  ","         21,0            ","          0,1   "
Tee schwarz mit Zucker ,"        8,4          ","         3,0  ","         97,8             ","         8,0  ","          0,1             ","         1,0  ","            0,0             ","           0,0  ","              2,0             ","            0,0  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","           1,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","         1,0            ","         0,0  ","         17,0            ","          0,0   "
Kräutertee ,"        0,7          ","         1,0  ","         99,7             ","         2,0  ","          0,0             ","         0,0  ","            0,0             ","           0,1  ","              0,2             ","            0,0  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","           1,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","         1,0            ","         0,0  ","          9,0            ","          0,0   "
Kräutertee mit Zucker ,"        8,9          ","         1,0  ","         97,7             ","         2,0  ","          0,0             ","         0,0  ","            0,0             ","           0,1  ","              2,2             ","            0,0  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         0,0             ","          0,0  ","         0,0            ","           1,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","         1,0            ","         0,0  ","          9,0            ","          0,0 "
Bier ,"       42,3          ","        10,0  ","         92,2             ","         4,0  ","          0,5             ","        32,0  ","            0,0             ","           0,0  ","              3,1             ","            0,0  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         4,0             ","          0,0  ","        10,0            ","           4,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","         4,0            ","         0,0  ","         55,0            ","          0,0   "
Bier alkoholfrei ,"       25,6          ","         8,0  ","         93,7             ","         5,0  ","          0,4             ","        20,0  ","            0,0             ","           0,0  ","              5,3             ","            0,0  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         0,3             ","          0,0  ","        10,0            ","           4,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","         3,0            ","         0,0  ","         40,0            ","          0,0   "
Bier alkoholarm ,"       55,3          ","         6,0  ","         87,2             ","         3,0  ","          0,5             ","        11,0  ","            0,0             ","           0,2  ","             10,9             ","            0,0  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         1,3             ","          0,0  ","        24,0            ","           4,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","         4,0            ","         0,0  ","         35,0            ","          0,0   "
Malzbier ,"       55,3          ","         6,0  ","         87,2             ","         3,0  ","          0,5             ","        11,0  ","            0,0             ","           0,2  ","             10,9             ","            0,0  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         1,3             ","          0,0  ","        24,0            ","           4,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","         4,0            ","         0,0  ","         35,0            ","          0,0   "
Weizenbier (Weißbier) obergärig ,"       42,8          ","        10,0  ","         92,3             ","         2,0  ","          0,3             ","        20,0  ","            0,0             ","           0,0  ","              3,0             ","            0,0  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         4,2             ","          0,0  ","        15,0            ","           4,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","         4,0            ","         0,0  ","         35,0            ","          0,0   "
Weizenbier Export ,"       42,8          ","        10,0  ","         92,3             ","         2,0  ","          0,3             ","        20,0  ","            0,0             ","           0,0  ","              3,0             ","            0,0  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         4,2             ","          0,0  ","        15,0            ","           4,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","         4,0            ","         0,0  ","         35,0            ","          0,0   "
Bier Pils Hell ,"       42,3          ","        10,0  ","         92,2             ","         4,0  ","          0,5             ","        32,0  ","            0,0             ","           0,0  ","              3,1             ","            0,0  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         4,0             ","          0,0  ","        10,0            ","           4,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","         4,0            ","         0,0  ","         55,0            ","          0,0   "
Bier Starkbier ,"       59,8          ","        12,0  ","         89,0             ","         4,0  ","          0,7             ","        50,0  ","            0,0             ","           0,0  ","              4,6             ","            0,0  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         5,5             ","          0,0  ","        13,0            ","           4,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","         3,0            ","         0,0  ","         40,0            ","          0,0   "
Bier mit Limonade ,"       34,0          ","         6,0  ","         92,8             ","        12,0  ","          0,3             ","        16,0  ","            0,0             ","           0,2  ","              4,9             ","            0,0  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         1,8             ","          0,0  ","         8,0            ","           2,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","         5,0            ","         0,0  ","         20,0            ","          0,0   "
Weißwein/Rotwein ,"       74,4          ","         9,0  ","         87,4             ","        14,0  ","          0,1             ","         8,0  ","            0,0             ","           0,5  ","              2,6             ","            0,2  ","         0,0             ","         0,0  ","           0,0            ","         0,0  ","         8,8             ","          0,0  ","         0,0            ","           1,0  ","         0,0             ","         0,0  ","             0,0             ","         0,0  ","        21,0            ","         0,0  ","         88,0            ","          0,0   "
